ds,forecast
2121-01-01,20.920322433925882
2122-01-01,20.64614124030922
2123-01-01,20.422170799822027
2124-01-01,20.23921602619098
2125-01-01,20.08976572765348
2126-01-01,19.967684235655945
2127-01-01,19.867959505533683
2128-01-01,19.786497347468327
2129-01-01,19.71995333989338
2130-01-01,19.665595524567863
2131-01-01,19.621192246276653
2132-01-01,19.584920532426498
2133-01-01,19.555291251070305
2134-01-01,19.531087974729104
2135-01-01,19.511317040071376
2136-01-01,19.49516675315445
2137-01-01,19.48197406540273
2138-01-01,19.47119735220812
2139-01-01,19.46239417658049
2140-01-01,19.45520312493687
2141-01-01,19.44932896929934
2142-01-01,19.44453054673697
2143-01-01,19.440610858443396
2144-01-01,19.437408981968556
2145-01-01,19.434793464562
2146-01-01,19.432656926392035
2147-01-01,19.430911652076418
2148-01-01,19.42948598953522
2149-01-01,19.428321408321146
2150-01-01,19.427370096657285
