ds,forecast
2121-01-01,36.28532329758745
2122-01-01,36.36331256316277
2123-01-01,36.43921594393243
2124-01-01,36.505339773862815
2125-01-01,36.363638423616045
2126-01-01,36.43837018108775
2127-01-01,36.51114835492109
2128-01-01,36.57427416949485
2129-01-01,36.42968934618377
2130-01-01,36.50166315614234
2131-01-01,36.57179626897656
2132-01-01,36.63238547613376
2133-01-01,36.48536170010827
2134-01-01,36.55500341015046
2135-01-01,36.62290050087515
2136-01-01,36.68134593951191
2137-01-01,36.53226145265698
2138-01-01,36.599933215630955
2139-01-01,36.665941959423584
2140-01-01,36.72257736601941
2141-01-01,36.57175334843182
2142-01-01,36.63776254017515
2143-01-01,36.702177894645324
2144-01-01,36.75728628164256
2145-01-01,36.60499498794404
2146-01-01,36.66960206119675
2147-01-01,36.732673863138146
2148-01-01,36.786494865421304
2149-01-01,36.63296674249465
2150-01-01,36.696392082670506
