ds,forecast
2121-01-01,22.453700630520803
2122-01-01,22.197548022941476
2123-01-01,21.975983329192655
2124-01-01,21.784336193604528
2125-01-01,21.61856689183675
2126-01-01,21.475181177647762
2127-01-01,21.35115662778094
2128-01-01,21.243878932393564
2129-01-01,21.15108678809645
2130-01-01,21.070824232006256
2131-01-01,21.001399412061314
2132-01-01,20.94134892452176
2133-01-01,20.88940696692506
2134-01-01,20.84447865627313
2135-01-01,20.80561695002575
2136-01-01,20.772002683418727
2137-01-01,20.742927302313852
2138-01-01,20.71777792760707
2139-01-01,20.69602443636784
2140-01-01,20.677208287393466
2141-01-01,20.66093285563254
2142-01-01,20.646855071737168
2143-01-01,20.634678190514222
2144-01-01,20.624145535842175
2145-01-01,20.615035090202653
2146-01-01,20.607154814779687
2147-01-01,20.600338601479162
2148-01-01,20.594442771541186
2149-01-01,20.589343046939714
2150-01-01,20.58493193072971
