ds,forecast
2121-01-01,40.09402504670493
2122-01-01,40.2336794112932
2123-01-01,40.427423068171855
2124-01-01,40.6857805920856
2125-01-01,40.19834869191512
2126-01-01,40.33402590490839
2127-01-01,40.523939379258415
2128-01-01,40.778608612161236
2129-01-01,40.28761583858499
2130-01-01,40.41987425949772
2131-01-01,40.606496471359094
2132-01-01,40.8579974731161
2133-01-01,40.36394694553987
2134-01-01,40.49327056643656
2135-01-01,40.677068326971884
2136-01-01,40.92585126818657
2137-01-01,40.4291782098483
2138-01-01,40.55598544602307
2139-01-01,40.73736207755888
2140-01-01,40.98381567921829
2141-01-01,40.48489569783806
2142-01-01,40.60954745997262
2143-01-01,40.78885067878159
2144-01-01,41.03330990606607
2145-01-01,40.532466515864854
2146-01-01,40.65527352036038
2147-01-01,40.832802554046374
2148-01-01,41.07555554292474
2149-01-01,40.57306691948009
2150-01-01,40.69429623641758
