ds,forecast
2121-01-01,39.78621557547024
2122-01-01,39.86756188701521
2123-01-01,39.960039178779304
2124-01-01,40.061492106767425
2125-01-01,39.935665500952354
2126-01-01,40.01189895053792
2127-01-01,40.09942931684209
2128-01-01,40.19609649184059
2129-01-01,40.065628163217305
2130-01-01,40.137384697455715
2131-01-01,40.22058558087309
2132-01-01,40.313066322049345
2133-01-01,40.17853941831253
2134-01-01,40.2463832152072
2135-01-01,40.325801830775916
2136-01-01,40.41462677928594
2137-01-01,40.27655714557912
2138-01-01,40.340986825780554
2139-01-01,40.41710638771807
2140-01-01,40.50274373662347
2141-01-01,40.36158615018545
2142-01-01,40.42304097006538
2143-01-01,40.49628685046863
2144-01-01,40.57914845890424
2145-01-01,40.43530270539516
2146-01-01,40.4941685526225
2147-01-01,40.56491420798511
2148-01-01,40.64536144879364
2149-01-01,40.49917810317131
2150-01-01,40.55579317691873
