region,prophet_MAE,prophet_RMSE,prophet_MAPE,arima_MAE,arima_RMSE,arima_MAPE,test_start_year,last_observed_year,horizon_years,value_unit
England,0.0475801778932697,0.05107789003477175,17.168979223859683,0.07477676851611764,0.07991304028044638,26.901281109499646,2030,2120,30,percent
Wales,0.04859749873718225,0.051345073660776785,15.91955339212006,0.07169256895786477,0.08130109137613603,22.591572169178335,2030,2120,30,percent
Scotland,0.04237052280018491,0.045410012880658567,13.862819255479753,0.09039891139064068,0.0982301702158881,29.180888563535127,2030,2120,30,percent
