ds,forecast
2121-01-01,23.858280254172058
2122-01-01,24.16128070587508
2123-01-01,24.42170279551523
2124-01-01,24.63373628604125
2125-01-01,24.79296731065557
2126-01-01,24.89646127338714
2127-01-01,24.942805248487335
2128-01-01,24.932109707660093
2129-01-01,24.865970469033194
2130-01-01,24.747392778771427
2131-01-01,24.58068037990102
2132-01-01,24.371293270335297
2133-01-01,24.125678583380648
2134-01-01,23.851079622764747
2135-01-01,23.5553285379059
2136-01-01,23.24662842524888
2137-01-01,22.933330783745177
2138-01-01,22.62371423688834
2139-01-01,22.325770264181667
2140-01-01,22.047001369491337
2141-01-01,21.794236664018456
2142-01-01,21.573469272440107
2143-01-01,21.389719299727954
2144-01-01,21.2469253431085
2145-01-01,21.147866720119048
2146-01-01,21.094117732353705
2147-01-01,21.0860344183668
2148-01-01,21.122773391240514
2149-01-01,21.202341528721508
2150-01-01,21.32167450747503
