ds,y
2020-01-01,0.1850396722285629
2021-01-01,0.18699968354222907
2022-01-01,0.18840714827299443
2023-01-01,0.19074820255120686
2024-01-01,0.1932071463981816
2025-01-01,0.19582432270242833
2026-01-01,0.19883060420668008
2027-01-01,0.2021603737228152
2028-01-01,0.20562463814078588
2029-01-01,0.20922640159504127
2030-01-01,0.21279884706787153
2031-01-01,0.21617616074007598
2032-01-01,0.21941915193782371
2033-01-01,0.22235430678654583
2034-01-01,0.22517195734691212
2035-01-01,0.22759314691766666
2036-01-01,0.2301784056261911
2037-01-01,0.23226646283354366
2038-01-01,0.2337783295779866
2039-01-01,0.234751462014545
2040-01-01,0.23546859382153978
2041-01-01,0.23591910373827837
2042-01-01,0.23612993913471858
2043-01-01,0.23645294257374758
2044-01-01,0.23743587022168675
2045-01-01,0.23879544393228352
2046-01-01,0.24007214301452912
2047-01-01,0.24122428889311517
2048-01-01,0.24235569776238433
2049-01-01,0.24337438206383227
2050-01-01,0.2446197854724658
2051-01-01,0.24585138134754608
2052-01-01,0.24695573273647342
2053-01-01,0.24832746082814502
2054-01-01,0.2495663288067019
2055-01-01,0.25090721591884896
2056-01-01,0.25244382692099276
2057-01-01,0.2537729899743351
2058-01-01,0.25483952163096374
2059-01-01,0.2559573375927802
2060-01-01,0.2568714070110919
2061-01-01,0.2579179191225898
2062-01-01,0.25906511231207685
2063-01-01,0.2600534787354568
2064-01-01,0.261045702357494
2065-01-01,0.26183868154885687
2066-01-01,0.2624897061290052
2067-01-01,0.26294523480929016
2068-01-01,0.26356060463587816
2069-01-01,0.26440793301689075
2070-01-01,0.2654012846268131
2071-01-01,0.26677816314092034
2072-01-01,0.2683389213150276
2073-01-01,0.27021833200642476
2074-01-01,0.2720154289077791
2075-01-01,0.273966244823071
2076-01-01,0.27608689824389054
2077-01-01,0.2784280854742735
2078-01-01,0.2804761686046412
2079-01-01,0.28232069732830883
2080-01-01,0.2841132175528365
2081-01-01,0.28597165097960336
2082-01-01,0.2876062184562774
2083-01-01,0.2890202876410482
2084-01-01,0.2901710945634308
2085-01-01,0.29105714079295975
2086-01-01,0.291563427650409
2087-01-01,0.2919504625962986
2088-01-01,0.2922955741320465
2089-01-01,0.2926851316817219
2090-01-01,0.2930867791642349
2091-01-01,0.2934695924049911
2092-01-01,0.29383682515308623
2093-01-01,0.294190218952672
2094-01-01,0.2945320502786814
2095-01-01,0.2948646543119334
2096-01-01,0.29519326154500036
2097-01-01,0.2955236293402576
2098-01-01,0.29585724082218157
2099-01-01,0.29619730505890357
2100-01-01,0.2965510578171519
2101-01-01,0.2969405172420039
2102-01-01,0.29738718742725295
2103-01-01,0.2978963222836685
2104-01-01,0.298469013342895
2105-01-01,0.29910621598509307
2106-01-01,0.2998012950993874
2107-01-01,0.3005460058532275
2108-01-01,0.3013368398906144
2109-01-01,0.3021698921674342
2110-01-01,0.3030275109538172
2111-01-01,0.3038930775776243
2112-01-01,0.30476152875354956
2113-01-01,0.3056254977066087
2114-01-01,0.3064765675243264
2115-01-01,0.30730762736659584
2116-01-01,0.3081155033937237
2117-01-01,0.30889857202981413
2118-01-01,0.30965336133764026
2119-01-01,0.31037641676834055
2120-01-01,0.31106821991173333
