Year,Age,Sex,Country,Population
2026, 75-79,Total,England,2516729.0
2026, 80-84,Total,England,1719352.0
2026, 85-89,Total,England,979178.0
2026, 90-94,Total,England,446881.0
2026, 95-99,Total,England,122904.0
2026, 100 & over,Total,England,15427.0
2026,All ages,Total,England,58344489.0
2027,  0-4,Total,England,2917145.0
2027,  5-9,Total,England,3197655.0
2027, 10-14,Total,England,3587716.0
2027, 15-19,Total,England,3696270.0
2027, 20-24,Total,England,3559197.0
2027, 25-29,Total,England,3645735.0
2027, 30-34,Total,England,3808733.0
2027, 35-39,Total,England,3897876.0
2027, 40-44,Total,England,3761549.0
2027, 45-49,Total,England,3642601.0
2027, 50-54,Total,England,3441100.0
2027, 55-59,Total,England,3798190.0
2027, 60-64,Total,England,3771974.0
2027, 65-69,Total,England,3263424.0
2027, 70-74,Total,England,2682245.0
2027, 75-79,Total,England,2406165.0
2027, 80-84,Total,England,1891066.0
2027, 85-89,Total,England,994668.0
2027, 90-94,Total,England,460237.0
2027, 95-99,Total,England,125960.0
2027, 100 & over,Total,England,15824.0
2027,All ages,Total,England,58565330.0
2028,  0-4,Total,England,2917108.0
2028,  5-9,Total,England,3122393.0
2028, 10-14,Total,England,3551030.0
2028, 15-19,Total,England,3720184.0
2028, 20-24,Total,England,3651858.0
2028, 25-29,Total,England,3617266.0
2028, 30-34,Total,England,3802719.0
2028, 35-39,Total,England,3885315.0
2028, 40-44,Total,England,3790506.0
2028, 45-49,Total,England,3713059.0
2028, 50-54,Total,England,3390497.0
2028, 55-59,Total,England,3748160.0
2028, 60-64,Total,England,3781731.0
2028, 65-69,Total,England,3353356.0
2028, 70-74,Total,England,2740576.0
2028, 75-79,Total,England,2355628.0
2028, 80-84,Total,England,1984167.0
2028, 85-89,Total,England,1032309.0
2028, 90-94,Total,England,475802.0
2028, 95-99,Total,England,128125.0
2028, 100 & over,Total,England,16250.0
2028,All ages,Total,England,58778039.0
2029,  0-4,Total,England,2913682.0
2029,  5-9,Total,England,3067918.0
2029, 10-14,Total,England,3508552.0
2029, 15-19,Total,England,3735344.0
2029, 20-24,Total,England,3725085.0
2029, 25-29,Total,England,3605212.0
2029, 30-34,Total,England,3792730.0
2029, 35-39,Total,England,3883235.0
2029, 40-44,Total,England,3817604.0
2029, 45-49,Total,England,3731345.0
2029, 50-54,Total,England,3415207.0
2029, 55-59,Total,England,3669680.0
2029, 60-64,Total,England,3776447.0
2029, 65-69,Total,England,3447739.0
2029, 70-74,Total,England,2805048.0
2029, 75-79,Total,England,2339876.0
2029, 80-84,Total,England,2026343.0
2029, 85-89,Total,England,1084493.0
2029, 90-94,Total,England,489892.0
2029, 95-99,Total,England,130526.00000000001
2029, 100 & over,Total,England,16842.0
2029,All ages,Total,England,58982800.0
2030,  0-4,Total,England,2909432.0
2030,  5-9,Total,England,3032588.0
2030, 10-14,Total,England,3449430.0
2030, 15-19,Total,England,3735792.0
2030, 20-24,Total,England,3800527.0
2030, 25-29,Total,England,3618079.0
2030, 30-34,Total,England,3782673.0
2030, 35-39,Total,England,3858308.0
2030, 40-44,Total,England,3835712.0
2030, 45-49,Total,England,3738801.0
2030, 50-54,Total,England,3479087.0
2030, 55-59,Total,England,3597757.0
2030, 60-64,Total,England,3748294.0
2030, 65-69,Total,England,3534996.0
2030, 70-74,Total,England,2885007.0
2030, 75-79,Total,England,2336008.0
2030, 80-84,Total,England,2053703.0
2030, 85-89,Total,England,1133130.0
2030, 90-94,Total,England,498374.0
2030, 95-99,Total,England,134527.0
2030, 100 & over,Total,England,17668.0
2030,All ages,Total,England,59179893.0
2031,  0-4,Total,England,2907035.0
2031,  5-9,Total,England,3022642.0
2031, 10-14,Total,England,3357354.0
2031, 15-19,Total,England,3727977.0
2031, 20-24,Total,England,3862838.0
2031, 25-29,Total,England,3668893.0
2031, 30-34,Total,England,3753586.0
2031, 35-39,Total,England,3827105.0
2031, 40-44,Total,England,3867087.0
2031, 45-49,Total,England,3749949.0
2031, 50-54,Total,England,3552850.0
2031, 55-59,Total,England,3496246.0
2031, 60-64,Total,England,3741814.0
2031, 65-69,Total,England,3592916.0
2031, 70-74,Total,England,2973080.0
2031, 75-79,Total,England,2360334.0
2031, 80-84,Total,England,2061005.0
2031, 85-89,Total,England,1192212.0
2031, 90-94,Total,England,497318.0
2031, 95-99,Total,England,139165.0
2031, 100 & over,Total,England,18281.0
2031,All ages,Total,England,59369687.0
2032,  0-4,Total,England,2906875.0
2032,  5-9,Total,England,3020327.0
2032, 10-14,Total,England,3270886.0
2032, 15-19,Total,England,3688017.0
2032, 20-24,Total,England,3928713.0
2032, 25-29,Total,England,3748162.0
2032, 30-34,Total,England,3703779.0
2032, 35-39,Total,England,3815339.0
2032, 40-44,Total,England,3892003.0
2032, 45-49,Total,England,3759971.0
2032, 50-54,Total,England,3632334.0
2032, 55-59,Total,England,3407203.0
2032, 60-64,Total,England,3712316.0
2032, 65-69,Total,England,3628587.0
2032, 70-74,Total,England,3064772.0
2032, 75-79,Total,England,2407050.0
2032, 80-84,Total,England,1976268.0
2032, 85-89,Total,England,1318935.0
2032, 90-94,Total,England,508163.0
2032, 95-99,Total,England,144468.0
2032, 100 & over,Total,England,18824.0
2032,All ages,Total,England,59552992.0
2033,  0-4,Total,England,2909017.0
2033,  5-9,Total,England,3020324.0
2033, 10-14,Total,England,3195790.0
2033, 15-19,Total,England,3651475.0
2033, 20-24,Total,England,3952707.0
2033, 25-29,Total,England,3841141.0
2033, 30-34,Total,England,3675508.0
2033, 35-39,Total,England,3809550.0
2033, 40-44,Total,England,3879554.0
2033, 45-49,Total,England,3788821.0
2033, 50-54,Total,England,3702014.0
2033, 55-59,Total,England,3358418.0
2033, 60-64,Total,England,3664655.0
2033, 65-69,Total,England,3639278.0
2033, 70-74,Total,England,3151040.0
2033, 75-79,Total,England,2462185.0
2033, 80-84,Total,England,1939944.0
2033, 85-89,Total,England,1387110.0
2033, 90-94,Total,England,532237.0
2033, 95-99,Total,England,150259.0
2033, 100 & over,Total,England,19226.0
2033,All ages,Total,England,59730253.0
2034,  0-4,Total,England,2913584.0
2034,  5-9,Total,England,3016932.0
2034, 10-14,Total,England,3141449.0
2034, 15-19,Total,England,3609136.0
2034, 20-24,Total,England,3968000.0
2034, 25-29,Total,England,3914714.0
2034, 30-34,Total,England,3663653.0
2034, 35-39,Total,England,3799782.0
2034, 40-44,Total,England,3877602.0
2034, 45-49,Total,England,3815758.0
2034, 50-54,Total,England,3720265.0
2034, 55-59,Total,England,3383573.0
2034, 60-64,Total,England,3589351.0
2034, 65-69,Total,England,3635743.0
2034, 70-74,Total,England,3241457.0
2034, 75-79,Total,England,2522795.0
2034, 80-84,Total,England,1931477.0
2034, 85-89,Total,England,1417720.0
2034, 90-94,Total,England,563962.0
2034, 95-99,Total,England,155371.0
2034, 100 & over,Total,England,19740.0
2034,All ages,Total,England,59902064.0
2035,  0-4,Total,England,2920933.0
2035,  5-9,Total,England,3012724.0
2035, 10-14,Total,England,3106202.0
2035, 15-19,Total,England,3550167.0
2035, 20-24,Total,England,3968696.0
2035, 25-29,Total,England,3990406.0
2035, 30-34,Total,England,3676662.0
2035, 35-39,Total,England,3789918.0
2035, 40-44,Total,England,3852986.0
2035, 45-49,Total,England,3833805.0
2035, 50-54,Total,England,3727955.0
2035, 55-59,Total,England,3447101.0
2035, 60-64,Total,England,3520445.0
2035, 65-69,Total,England,3610285.0
2035, 70-74,Total,England,3325073.0
2035, 75-79,Total,England,2597015.0
2035, 80-84,Total,England,1932055.0
2035, 85-89,Total,England,1435860.0
2035, 90-94,Total,England,591891.0
2035, 95-99,Total,England,158591.0
2035, 100 & over,Total,England,20609.0
2035,All ages,Total,England,60069379.0
2036,  0-4,Total,England,2932162.0
2036,  5-9,Total,England,3010370.0
2036, 10-14,Total,England,3096293.0
2036, 15-19,Total,England,3458292.0
2036, 20-24,Total,England,3961200.0
2036, 25-29,Total,England,4052929.0
2036, 30-34,Total,England,3727531.0
2036, 35-39,Total,England,3761089.0
2036, 40-44,Total,England,3822241.0
2036, 45-49,Total,England,3865032.0
2036, 50-54,Total,England,3739318.0
2036, 55-59,Total,England,3520140.0
2036, 60-64,Total,England,3422947.0
2036, 65-69,Total,England,3605793.0
2036, 70-74,Total,England,3381289.0
2036, 75-79,Total,England,2678992.0
2036, 80-84,Total,England,1955975.0
2036, 85-89,Total,England,1439310.0
2036, 90-94,Total,England,623378.0
2036, 95-99,Total,England,158339.0
2036, 100 & over,Total,England,21523.0
2036,All ages,Total,England,60234143.0
2037,  0-4,Total,England,2948276.0
2037,  5-9,Total,England,3010245.0
2037, 10-14,Total,England,3093992.0
2037, 15-19,Total,England,3372045.0
2037, 20-24,Total,England,3921489.0
2037, 25-29,Total,England,4119006.0000000005
2037, 30-34,Total,England,3806735.0
2037, 35-39,Total,England,3711664.0
2037, 40-44,Total,England,3810830.0
2037, 45-49,Total,England,3889786.0
2037, 50-54,Total,England,3749554.0
2037, 55-59,Total,England,3598653.0
2037, 60-64,Total,England,3337623.0
2037, 65-69,Total,England,3579082.0
2037, 70-74,Total,England,3416758.0
2037, 75-79,Total,England,2764566.0
2037, 80-84,Total,England,1998524.0
2037, 85-89,Total,England,1387159.0
2037, 90-94,Total,England,696677.0
2037, 95-99,Total,England,163241.0
2037, 100 & over,Total,England,22522.0
2037,All ages,Total,England,60398427.0
2038,  0-4,Total,England,2969323.0
2038,  5-9,Total,England,3012416.0
2038, 10-14,Total,England,3094003.0
2038, 15-19,Total,England,3297132.0
2038, 20-24,Total,England,3885203.0
2038, 25-29,Total,England,4143120.0
2038, 30-34,Total,England,3899560.0
2038, 35-39,Total,England,3683764.0
2038, 40-44,Total,England,3805317.0
2038, 45-49,Total,England,3877535.0
2038, 50-54,Total,England,3778383.0
2038, 55-59,Total,England,3667472.0
2038, 60-64,Total,England,3291442.0
2038, 65-69,Total,England,3534766.0
2038, 70-74,Total,England,3428807.0
2038, 75-79,Total,England,2845520.0
2038, 80-84,Total,England,2048873.9999999998
2038, 85-89,Total,England,1368333.0
2038, 90-94,Total,England,735093.0
2038, 95-99,Total,England,173370.0
2038, 100 & over,Total,England,23550.0
2038,All ages,Total,England,60562983.0
2039,  0-4,Total,England,2994895.0
2039,  5-9,Total,England,3017013.0
2039, 10-14,Total,England,3090635.0
2039, 15-19,Total,England,3242960.0
2039, 20-24,Total,England,3843199.0
2039, 25-29,Total,England,4158408.0000000005
2039, 30-34,Total,England,3972976.0
2039, 35-39,Total,England,3672217.0
2039, 40-44,Total,England,3795833.0
2039, 45-49,Total,England,3875792.0
2039, 50-54,Total,England,3805232.0
2039, 55-59,Total,England,3685846.0
2039, 60-64,Total,England,3317285.0
2039, 65-69,Total,England,3463913.0
2039, 70-74,Total,England,3427763.0
2039, 75-79,Total,England,2930142.0
2039, 80-84,Total,England,2103718.0
2039, 85-89,Total,England,1368337.0
2039, 90-94,Total,England,751780.0
2039, 95-99,Total,England,185971.0
2039, 100 & over,Total,England,24448.0
2039,All ages,Total,England,60728363.0
2040,  0-4,Total,England,3024140.0
2040,  5-9,Total,England,3024386.0
2040, 10-14,Total,England,3086445.0
2040, 15-19,Total,England,3207848.0
2040, 20-24,Total,England,3784689.0
2040, 25-29,Total,England,4159011.0000000005
2040, 30-34,Total,England,4048516.0
2040, 35-39,Total,England,3685393.0
2040, 40-44,Total,England,3786208.0
2040, 45-49,Total,England,3851626.0
2040, 50-54,Total,England,3823341.0
2040, 55-59,Total,England,3694043.0
2040, 60-64,Total,England,3380403.0
2040, 65-69,Total,England,3399186.0
2040, 70-74,Total,England,3406083.0
2040, 75-79,Total,England,3008437.0
2040, 80-84,Total,England,2169388.0
2040, 85-89,Total,England,1373895.0
2040, 90-94,Total,England,760543.0
2040, 95-99,Total,England,196243.0
2040, 100 & over,Total,England,25057.0
2040,All ages,Total,England,60894881.0
2041,  0-4,Total,England,3054660.0
2041,  5-9,Total,England,3035628.0
2041, 10-14,Total,England,3084119.0
2041, 15-19,Total,England,3198042.0
2041, 20-24,Total,England,3693362.0
2041, 25-29,Total,England,4151412.9999999995
2041, 30-34,Total,England,4110935.9999999995
2041, 35-39,Total,England,3736241.0
2041, 40-44,Total,England,3757732.0
2041, 45-49,Total,England,3821496.0
2041, 50-54,Total,England,3854500.0
2041, 55-59,Total,England,3705866.0
2041, 60-64,Total,England,3452506.0
2041, 65-69,Total,England,3307239.0
2041, 70-74,Total,England,3404375.0
2041, 75-79,Total,England,3062106.0
2041, 80-84,Total,England,2242204.0
2041, 85-89,Total,England,1396255.0
2041, 90-94,Total,England,761535.0
2041, 95-99,Total,England,206987.0
2041, 100 & over,Total,England,25051.0
2041,All ages,Total,England,61062253.0
2042,  0-4,Total,England,3083781.0
2042,  5-9,Total,England,3051745.0
2042, 10-14,Total,England,3084009.0
2042, 15-19,Total,England,3195721.0
2042, 20-24,Total,England,3607617.0
2042, 25-29,Total,England,4111665.0
2042, 30-34,Total,England,4176908.0000000005
2042, 35-39,Total,England,3815242.0
2042, 40-44,Total,England,3708822.0
2042, 45-49,Total,England,3810566.0
2042, 50-54,Total,England,3879173.0
2042, 55-59,Total,England,3716531.0
2042, 60-64,Total,England,3529718.0
2042, 65-69,Total,England,3226985.0
2042, 70-74,Total,England,3381593.0
2042, 75-79,Total,England,3097216.0
2042, 80-84,Total,England,2318521.0
2042, 85-89,Total,England,1432143.0
2042, 90-94,Total,England,740160.0
2042, 95-99,Total,England,235333.0
2042, 100 & over,Total,England,26203.0
2042,All ages,Total,England,61229652.0
2043,  0-4,Total,England,3110458.0
2043,  5-9,Total,England,3072784.0
2043, 10-14,Total,England,3086200.0
2043, 15-19,Total,England,3195735.0
2043, 20-24,Total,England,3533033.0
2043, 25-29,Total,England,4075299.0
2043, 30-34,Total,England,4201011.0
2043, 35-39,Total,England,3907733.0
2043, 40-44,Total,England,3681398.0
2043, 45-49,Total,England,3805427.0
2043, 50-54,Total,England,3867312.0
2043, 55-59,Total,England,3745480.0
2043, 60-64,Total,England,3597421.0
2043, 65-69,Total,England,3184346.0
2043, 70-74,Total,England,3341906.0
2043, 75-79,Total,England,3111174.0
2043, 80-84,Total,England,2391333.0
2043, 85-89,Total,England,1474667.0
2043, 90-94,Total,England,736361.0
2043, 95-99,Total,England,249277.0
2043, 100 & over,Total,England,28373.0
2043,All ages,Total,England,61396728.0
2044,  0-4,Total,England,3133824.0
2044,  5-9,Total,England,3098337.0
2044, 10-14,Total,England,3090811.0
2044, 15-19,Total,England,3192373.0
2044, 20-24,Total,England,3478983.0
2044, 25-29,Total,England,4033162.0
2044, 30-34,Total,England,4216315.0
2044, 35-39,Total,England,3980865.0
2044, 40-44,Total,England,3670225.0
2044, 45-49,Total,England,3796356.0
2044, 50-54,Total,England,3865924.0
2044, 55-59,Total,England,3772354.0
2044, 60-64,Total,England,3616099.0
2044, 65-69,Total,England,3211073.0
2044, 70-74,Total,England,3277157.0
2044, 75-79,Total,England,3113686.0
2044, 80-84,Total,England,2467125.0
2044, 85-89,Total,England,1520271.0
2044, 90-94,Total,England,742182.0
2044, 95-99,Total,England,254867.0
2044, 100 & over,Total,England,30870.0
2044,All ages,Total,England,61562859.0
2045,  0-4,Total,England,3152223.0
2045,  5-9,Total,England,3127556.0
2045, 10-14,Total,England,3098197.0
2045, 15-19,Total,England,3188194.0
2045, 20-24,Total,England,3443814.0
2045, 25-29,Total,England,3974437.0
2045, 30-34,Total,England,4216986.0
2045, 35-39,Total,England,4056140.0
2045, 40-44,Total,England,3683621.0
2045, 45-49,Total,England,3787091.0
2045, 50-54,Total,England,3842442.0
2045, 55-59,Total,England,3790652.0
2045, 60-64,Total,England,3625121.0
2045, 65-69,Total,England,3273613.0
2045, 70-74,Total,England,3218096.0
2045, 75-79,Total,England,3097428.0
2045, 80-84,Total,England,2537285.0
2045, 85-89,Total,England,1572998.0
2045, 90-94,Total,England,750367.0
2045, 95-99,Total,England,257500.0
2045, 100 & over,Total,England,32714.0
2045,All ages,Total,England,61726475.0
2046,  0-4,Total,England,3164680.0
2046,  5-9,Total,England,3158048.0
2046, 10-14,Total,England,3109452.0
2046, 15-19,Total,England,3185883.0
2046, 20-24,Total,England,3433826.0
2046, 25-29,Total,England,3882836.0
2046, 30-34,Total,England,4209521.0
2046, 35-39,Total,England,4118367.0
2046, 40-44,Total,England,3734470.0
2046, 45-49,Total,England,3759118.0
2046, 50-54,Total,England,3813173.0
2046, 55-59,Total,England,3821825.0
2046, 60-64,Total,England,3637669.0
2046, 65-69,Total,England,3344508.0
2046, 70-74,Total,England,3133773.0
2046, 75-79,Total,England,3099684.0
2046, 80-84,Total,England,2586791.0
2046, 85-89,Total,England,1631802.0
2046, 90-94,Total,England,768102.0
2046, 95-99,Total,England,257899.0
2046, 100 & over,Total,England,34537.0
2046,All ages,Total,England,61885964.0
2047,  0-4,Total,England,3171287.0
2047,  5-9,Total,England,3187140.0
2047, 10-14,Total,England,3125577.0
2047, 15-19,Total,England,3185794.0
2047, 20-24,Total,England,3431439.0
2047, 25-29,Total,England,3796752.0
2047, 30-34,Total,England,4169992.0
2047, 35-39,Total,England,4184160.0
2047, 40-44,Total,England,3813237.0
2047, 45-49,Total,England,3710934.0
2047, 50-54,Total,England,3802911.0
2047, 55-59,Total,England,3846488.0
2047, 60-64,Total,England,3649005.0
2047, 65-69,Total,England,3420064.0
2047, 70-74,Total,England,3060447.0
2047, 75-79,Total,England,3082516.0
2047, 80-84,Total,England,2620889.0
2047, 85-89,Total,England,1693811.0
2047, 90-94,Total,England,793570.0
2047, 95-99,Total,England,254062.0
2047, 100 & over,Total,England,40282.0
2047,All ages,Total,England,62040357.0
2048,  0-4,Total,England,3171756.0
2048,  5-9,Total,England,3213791.0
2048, 10-14,Total,England,3146610.0
2048, 15-19,Total,England,3188003.0
2048, 20-24,Total,England,3431414.0
2048, 25-29,Total,England,3721938.0
2048, 30-34,Total,England,4133810.0000000005
2048, 35-39,Total,England,4208282.0
2048, 40-44,Total,England,3905362.0
2048, 45-49,Total,England,3684134.0
2048, 50-54,Total,England,3798326.0
2048, 55-59,Total,England,3835211.0
2048, 60-64,Total,England,3678206.0
2048, 65-69,Total,England,3486391.0
2048, 70-74,Total,England,3022613.0
2048, 75-79,Total,England,3049377.0
2048, 80-84,Total,England,2637083.0
2048, 85-89,Total,England,1753655.0
2048, 90-94,Total,England,823557.0
2048, 95-99,Total,England,256257.99999999997
2048, 100 & over,Total,England,42829.0
2048,All ages,Total,England,62188606.0
2049,  0-4,Total,England,3165883.0
2049,  5-9,Total,England,3237149.0
2049, 10-14,Total,England,3172147.0
2049, 15-19,Total,England,3192627.0
2049, 20-24,Total,England,3428047.0
2049, 25-29,Total,England,3667787.0
2049, 30-34,Total,England,4091845.0
2049, 35-39,Total,England,4223684.0
2049, 40-44,Total,England,3978190.0
2049, 45-49,Total,England,3673493.0
2049, 50-54,Total,England,3789838.0
2049, 55-59,Total,England,3834339.0
2049, 60-64,Total,England,3705187.0
2049, 65-69,Total,England,3505666.0
2049, 70-74,Total,England,3050517.0
2049, 75-79,Total,England,2993303.0
2049, 80-84,Total,England,2644172.0
2049, 85-89,Total,England,1815514.0
2049, 90-94,Total,England,855029.0
2049, 95-99,Total,England,261476.0
2049, 100 & over,Total,England,43765.0
2049,All ages,Total,England,62329658.0
2050,  0-4,Total,England,3154680.0
2050,  5-9,Total,England,3255552.0
2050, 10-14,Total,England,3201351.0
2050, 15-19,Total,England,3200027.0
2050, 20-24,Total,England,3423875.0
2050, 25-29,Total,England,3632644.0
2050, 30-34,Total,England,4033328.0
2050, 35-39,Total,England,4224509.0
