Year,Age,Sex,Country,Population
2026,  0-4,Total,Scotland,231334.0
2026,  5-9,Total,Scotland,260952.0
2026, 10-14,Total,Scotland,298449.0
2026, 15-19,Total,Scotland,312015.0
2026, 20-24,Total,Scotland,321666.0
2026, 25-29,Total,Scotland,351911.0
2026, 30-34,Total,Scotland,377454.0
2026, 35-39,Total,Scotland,387859.0
2026, 40-44,Total,Scotland,360711.0
2026, 45-49,Total,Scotland,330988.0
2026, 50-54,Total,Scotland,334641.0
2026, 55-59,Total,Scotland,383146.0
2026, 60-64,Total,Scotland,389132.0
2026, 65-69,Total,Scotland,342019.0
2026, 70-74,Total,Scotland,279361.0
2026, 75-79,Total,Scotland,248888.0
2026, 80-84,Total,Scotland,157725.0
2026, 85-89,Total,Scotland,90789.0
2026, 90-94,Total,Scotland,39350.0
2026, 95-99,Total,Scotland,9836.0
2026, 100 & over,Total,Scotland,1134.0
2026,All ages,Total,Scotland,5509360.0
2027,  0-4,Total,Scotland,231043.0
2027,  5-9,Total,Scotland,252969.0
2027, 10-14,Total,Scotland,293338.0
2027, 15-19,Total,Scotland,315010.0
2027, 20-24,Total,Scotland,326214.0
2027, 25-29,Total,Scotland,344349.0
2027, 30-34,Total,Scotland,371599.0
2027, 35-39,Total,Scotland,395156.0
2027, 40-44,Total,Scotland,363510.0
2027, 45-49,Total,Scotland,341954.0
2027, 50-54,Total,Scotland,322062.0
2027, 55-59,Total,Scotland,376257.0
2027, 60-64,Total,Scotland,389365.0
2027, 65-69,Total,Scotland,349511.0
2027, 70-74,Total,Scotland,286243.0
2027, 75-79,Total,Scotland,239850.0
2027, 80-84,Total,Scotland,172778.0
2027, 85-89,Total,Scotland,91862.0
2027, 90-94,Total,Scotland,40084.0
2027, 95-99,Total,Scotland,10204.0
2027, 100 & over,Total,Scotland,1168.0
2027,All ages,Total,Scotland,5514526.0
2028,  0-4,Total,Scotland,230708.0
2028,  5-9,Total,Scotland,246045.0
2028, 10-14,Total,Scotland,288264.0
2028, 15-19,Total,Scotland,314203.0
2028, 20-24,Total,Scotland,333256.0
2028, 25-29,Total,Scotland,338750.0
2028, 30-34,Total,Scotland,367829.0
2028, 35-39,Total,Scotland,395818.0
2028, 40-44,Total,Scotland,369822.0
2028, 45-49,Total,Scotland,350852.0
2028, 50-54,Total,Scotland,314836.0
2028, 55-59,Total,Scotland,365876.0
2028, 60-64,Total,Scotland,387369.0
2028, 65-69,Total,Scotland,357163.0
2028, 70-74,Total,Scotland,293089.0
2028, 75-79,Total,Scotland,236827.0
2028, 80-84,Total,Scotland,181245.0
2028, 85-89,Total,Scotland,94213.0
2028, 90-94,Total,Scotland,41172.0
2028, 95-99,Total,Scotland,10400.0
2028, 100 & over,Total,Scotland,1200.0
2028,All ages,Total,Scotland,5518937.0
2029,  0-4,Total,Scotland,229871.0
2029,  5-9,Total,Scotland,240986.0
2029, 10-14,Total,Scotland,282626.0
2029, 15-19,Total,Scotland,311853.0
2029, 20-24,Total,Scotland,339340.0
2029, 25-29,Total,Scotland,335485.0
2029, 30-34,Total,Scotland,364871.0
2029, 35-39,Total,Scotland,394503.0
2029, 40-44,Total,Scotland,376962.0
2029, 45-49,Total,Scotland,354455.0
2029, 50-54,Total,Scotland,316305.0
2029, 55-59,Total,Scotland,353121.0
2029, 60-64,Total,Scotland,383887.0
2029, 65-69,Total,Scotland,363213.0
2029, 70-74,Total,Scotland,300672.0
2029, 75-79,Total,Scotland,236586.0
2029, 80-84,Total,Scotland,186753.0
2029, 85-89,Total,Scotland,97127.0
2029, 90-94,Total,Scotland,42014.0
2029, 95-99,Total,Scotland,10649.0
2029, 100 & over,Total,Scotland,1247.0
2029,All ages,Total,Scotland,5522526.0
2030,  0-4,Total,Scotland,228782.0
2030,  5-9,Total,Scotland,238103.0
2030, 10-14,Total,Scotland,274968.0
2030, 15-19,Total,Scotland,310812.0
2030, 20-24,Total,Scotland,342839.0
2030, 25-29,Total,Scotland,334402.0
2030, 30-34,Total,Scotland,362634.0
2030, 35-39,Total,Scotland,390567.0
2030, 40-44,Total,Scotland,382546.0
2030, 45-49,Total,Scotland,357714.0
2030, 50-54,Total,Scotland,321601.0
2030, 55-59,Total,Scotland,342262.0
2030, 60-64,Total,Scotland,376799.0
2030, 65-69,Total,Scotland,369544.0
2030, 70-74,Total,Scotland,308097.0
2030, 75-79,Total,Scotland,238191.0
2030, 80-84,Total,Scotland,191464.0
2030, 85-89,Total,Scotland,99003.0
2030, 90-94,Total,Scotland,42622.0
2030, 95-99,Total,Scotland,10970.0
2030, 100 & over,Total,Scotland,1301.0
2030,All ages,Total,Scotland,5525221.0
2031,  0-4,Total,Scotland,227699.0
2031,  5-9,Total,Scotland,237087.0
2031, 10-14,Total,Scotland,265847.0
2031, 15-19,Total,Scotland,306088.0
2031, 20-24,Total,Scotland,348888.0
2031, 25-29,Total,Scotland,334152.0
2031, 30-34,Total,Scotland,359651.0
2031, 35-39,Total,Scotland,383895.0
2031, 40-44,Total,Scotland,390455.0
2031, 45-49,Total,Scotland,360320.0
2031, 50-54,Total,Scotland,328690.0
2031, 55-59,Total,Scotland,330248.0
2031, 60-64,Total,Scotland,373276.0
2031, 65-69,Total,Scotland,371203.0
2031, 70-74,Total,Scotland,315284.0
2031, 75-79,Total,Scotland,242580.0
