Year,Age,Sex,Country,Population
2026, 35-39,Total,Wales,207051.0
2026, 40-44,Total,Wales,189832.0
2026, 45-49,Total,Wales,180538.0
2026, 50-54,Total,Wales,186439.0
2026, 55-59,Total,Wales,219201.0
2026, 60-64,Total,Wales,225107.0
2026, 65-69,Total,Wales,198312.0
2026, 70-74,Total,Wales,168306.0
2026, 75-79,Total,Wales,160604.0
2026, 80-84,Total,Wales,107464.0
2026, 85-89,Total,Wales,59865.0
2026, 90-94,Total,Wales,26416.0
2026, 95-99,Total,Wales,6848.0
2026, 100 & over,Total,Wales,882.0
2026,All ages,Total,Wales,3238888.0
2027,  0-4,Total,Wales,146217.0
2027,  5-9,Total,Wales,157652.0
2027, 10-14,Total,Wales,182180.0
2027, 15-19,Total,Wales,196745.0
2027, 20-24,Total,Wales,200613.0
2027, 25-29,Total,Wales,203720.0
2027, 30-34,Total,Wales,208740.0
2027, 35-39,Total,Wales,211924.0
2027, 40-44,Total,Wales,192257.0
2027, 45-49,Total,Wales,184359.0
2027, 50-54,Total,Wales,179169.0
2027, 55-59,Total,Wales,216429.0
2027, 60-64,Total,Wales,225894.0
2027, 65-69,Total,Wales,203698.0
2027, 70-74,Total,Wales,170491.0
2027, 75-79,Total,Wales,154134.0
2027, 80-84,Total,Wales,116896.0
2027, 85-89,Total,Wales,61507.0
2027, 90-94,Total,Wales,27032.0
2027, 95-99,Total,Wales,7010.0
2027, 100 & over,Total,Wales,900.0
2027,All ages,Total,Wales,3247567.0
2028,  0-4,Total,Wales,146622.0
2028,  5-9,Total,Wales,153718.0
2028, 10-14,Total,Wales,179936.0
2028, 15-19,Total,Wales,196151.0
2028, 20-24,Total,Wales,205750.0
2028, 25-29,Total,Wales,199909.0
2028, 30-34,Total,Wales,208326.0
2028, 35-39,Total,Wales,214648.0
2028, 40-44,Total,Wales,195528.0
2028, 45-49,Total,Wales,188870.0
2028, 50-54,Total,Wales,174449.0
2028, 55-59,Total,Wales,212049.0
2028, 60-64,Total,Wales,225370.0
