Year,Age,Sex,Country,Population
2025, 25-29,Total,United Kingdom,4390105.0
2025, 30-34,Total,United Kingdom,4565358.0
2025, 35-39,Total,United Kingdom,4547242.0
2025, 40-44,Total,United Kingdom,4410269.0
2025, 45-49,Total,United Kingdom,4103448.9999999995
2025, 50-54,Total,United Kingdom,4300350.0
2025, 55-59,Total,United Kingdom,4572031.0
2025, 60-64,Total,United Kingdom,4410457.0
2025, 65-69,Total,United Kingdom,3706280.0
2025, 70-74,Total,United Kingdom,3134624.0
2025, 75-79,Total,United Kingdom,2982761.0
2025, 80-84,Total,United Kingdom,1943030.0
2025, 85-89,Total,United Kingdom,1161085.0
2025, 90-94,Total,United Kingdom,512152.00000000006
2025, 95-99,Total,United Kingdom,138666.0
2025, 100 & over,Total,United Kingdom,17401.0
2025,All ages,Total,United Kingdom,68722647.0
2026,  0-4,Total,United Kingdom,3394142.0
2026,  5-9,Total,United Kingdom,3823003.0
2026, 10-14,Total,United Kingdom,4239508.0
2026, 15-19,Total,United Kingdom,4267142.0
2026, 20-24,Total,United Kingdom,4103042.9999999995
2026, 25-29,Total,United Kingdom,4356582.0
2026, 30-34,Total,United Kingdom,4523031.0
2026, 35-39,Total,United Kingdom,4592376.0
2026, 40-44,Total,United Kingdom,4425719.0
2026, 45-49,Total,United Kingdom,4192747.9999999995
2026, 50-54,Total,United Kingdom,4172298.0
2026, 55-59,Total,United Kingdom,4559301.0
2026, 60-64,Total,United Kingdom,4475239.0
2026, 65-69,Total,United Kingdom,3814918.0
2026, 70-74,Total,United Kingdom,3166016.0
2026, 75-79,Total,United Kingdom,2998703.0
2026, 80-84,Total,United Kingdom,2037758.0
2026, 85-89,Total,United Kingdom,1158562.0
2026, 90-94,Total,United Kingdom,524931.0
2026, 95-99,Total,United Kingdom,142799.0
2026, 100 & over,Total,United Kingdom,17838.0
2026,All ages,Total,United Kingdom,68985657.0
2027,  0-4,Total,United Kingdom,3390805.0
2027,  5-9,Total,United Kingdom,3719969.0
2027, 10-14,Total,United Kingdom,4189746.0
2027, 15-19,Total,United Kingdom,4339856.0
2027, 20-24,Total,United Kingdom,4193353.0
2027, 25-29,Total,United Kingdom,4293551.0
2027, 30-34,Total,United Kingdom,4501352.0
2027, 35-39,Total,United Kingdom,4629106.0
2027, 40-44,Total,United Kingdom,4441962.0
2027, 45-49,Total,United Kingdom,4289541.0
2027, 50-54,Total,United Kingdom,4058397.0
2027, 55-59,Total,United Kingdom,4516965.0
2027, 60-64,Total,United Kingdom,4513130.0
2027, 65-69,Total,United Kingdom,3926606.0
2027, 70-74,Total,United Kingdom,3227201.0
2027, 75-79,Total,United Kingdom,2872354.0
2027, 80-84,Total,United Kingdom,2235980.0
2027, 85-89,Total,United Kingdom,1177712.0
2027, 90-94,Total,United Kingdom,540051.0
2027, 95-99,Total,United Kingdom,146471.0
2027, 100 & over,Total,United Kingdom,18301.0
2027,All ages,Total,United Kingdom,69222409.0
2028,  0-4,Total,United Kingdom,3389835.0
2028,  5-9,Total,United Kingdom,3630296.0
2028, 10-14,Total,United Kingdom,4144162.0000000005
2028, 15-19,Total,United Kingdom,4361911.0
2028, 20-24,Total,United Kingdom,4302540.0
2028, 25-29,Total,United Kingdom,4254457.0
2028, 30-34,Total,United Kingdom,4489379.0
2028, 35-39,Total,United Kingdom,4618364.0
2028, 40-44,Total,United Kingdom,4481232.0
2028, 45-49,Total,United Kingdom,4375017.0
2028, 50-54,Total,United Kingdom,3993969.0
2028, 55-59,Total,United Kingdom,4450470.0
2028, 60-64,Total,United Kingdom,4520968.0
2028, 65-69,Total,United Kingdom,4031290.0
2028, 70-74,Total,United Kingdom,3297771.0
2028, 75-79,Total,United Kingdom,2815797.0
2028, 80-84,Total,United Kingdom,2344439.0
2028, 85-89,Total,United Kingdom,1221735.0
2028, 90-94,Total,United Kingdom,557760.0
2028, 95-99,Total,United Kingdom,149172.0
2028, 100 & over,Total,United Kingdom,18768.0
2028,All ages,Total,United Kingdom,69449332.0
2029,  0-4,Total,United Kingdom,3384582.0
2029,  5-9,Total,United Kingdom,3565410.0
2029, 10-14,Total,United Kingdom,4091221.0
2029, 15-19,Total,United Kingdom,4373230.0
2029, 20-24,Total,United Kingdom,4389379.0
2029, 25-29,Total,United Kingdom,4235524.0
2029, 30-34,Total,United Kingdom,4473731.0
2029, 35-39,Total,United Kingdom,4615642.0
2029, 40-44,Total,United Kingdom,4520460.0
2029, 45-49,Total,United Kingdom,4399190.0
2029, 50-54,Total,United Kingdom,4020535.0
2029, 55-59,Total,United Kingdom,4349882.0
2029, 60-64,Total,United Kingdom,4510503.0
2029, 65-69,Total,United Kingdom,4139888.0
2029, 70-74,Total,United Kingdom,3375619.0
2029, 75-79,Total,United Kingdom,2799134.0
2029, 80-84,Total,United Kingdom,2395817.0
2029, 85-89,Total,United Kingdom,1281368.0
2029, 90-94,Total,United Kingdom,573884.0
2029, 95-99,Total,United Kingdom,152066.0
2029, 100 & over,Total,United Kingdom,19446.0
2029,All ages,Total,United Kingdom,69666511.0
2030,  0-4,Total,United Kingdom,3378109.0
2030,  5-9,Total,United Kingdom,3523667.0
2030, 10-14,Total,United Kingdom,4017920.0
2030, 15-19,Total,United Kingdom,4370512.0
2030, 20-24,Total,United Kingdom,4474855.0
2030, 25-29,Total,United Kingdom,4246582.0
2030, 30-34,Total,United Kingdom,4460459.0
2030, 35-39,Total,United Kingdom,4583483.0
